"dir","pct_decoded","decoded","identified_decoder","decode_error"
"Microwave Telemetry      ",94.1,NA,NA,NA
" °--X-Tag                ",94.1,NA,NA,NA
"     ¦--Lingcod          ",100,NA,NA,NA
"     ¦   ¦--128305       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   ¦--128306       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   ¦--128307       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   °--128309       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦--Rougheye Rockfish",100,NA,NA,NA
"     ¦   ¦--117230       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   ¦--118353       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   ¦--118361       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   ¦--118368       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   ¦--118375       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   ¦--128308       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   ¦--128310       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   ¦--128312       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   °--128319       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦--Sablefish        ",100,NA,NA,NA
"     ¦   ¦--148402       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   ¦--148408       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     ¦   °--148410       ",NA,TRUE,"Decoder_MicrowaveTelemetry_XTag",""
"     °--Spiny Dogfish    ",0,NA,NA,NA
"         °--Tribuzio     ",NA,FALSE,"","Matching decoders: 0"
