"dir","pct_decoded","decoded","identified_decoder","decode_error"
"data                                             ",77.9,NA,NA,NA
" ¦--Desert Star                                  ",0,NA,NA,NA
" ¦   °--SeaTag MOD                               ",0,NA,NA,NA
" ¦       °--Sablefish                            ",NA,FALSE,"","Matching decoders: 0"
" ¦--Lotek                                        ",79.4,NA,NA,NA
" ¦   ¦--KIWISAT                                  ",NA,FALSE,"","Matching decoders: 0"
" ¦   ¦--LAT 1400-LAT 1800                        ",95.8,NA,NA,NA
" ¦   ¦   ¦--Greenland turbot                     ",100,NA,NA,NA
" ¦   ¦   ¦   ¦--383                              ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦   ¦   ¦--386                              ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦   ¦   ¦--387                              ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦   ¦   ¦--390                              ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦   ¦   ¦--403                              ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦   ¦   °--406                              ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦   °--Sablefish                            ",94.4,NA,NA,NA
" ¦   ¦       ¦--0507                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--0513                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--0541                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--0594                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--0595                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--0673                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--0719                             ",NA,FALSE,"","Matching decoders: 0"
" ¦   ¦       ¦--0728                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--1535                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--1546                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--1842                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--2283                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--2304                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--2340                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--3420                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--3421                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       ¦--3470                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   ¦       °--3494                             ",NA,TRUE,"Decoder_Lotek.1400.1800",""
" ¦   °--LTD 1300-LTD 1000-LTD 1110-LTD 1250      ",77.3,NA,NA,NA
" ¦       ¦--Greenland turbot                     ",58.3,NA,NA,NA
" ¦       ¦   ¦--2466                             ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦       ¦   ¦--3880                             ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦       ¦   ¦--3883                             ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦       ¦   ¦--4122                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--4126                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--4542                             ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦       ¦   ¦--4551                             ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦       ¦   ¦--5282                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--5319                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--5334                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--5364                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   °--5385                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦--Lingcod                              ",100,NA,NA,NA
" ¦       ¦   ¦--3788                             ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦       ¦   ¦--3898                             ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦       ¦   ¦--4071                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--5295                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   °--5732                             ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦       ¦--Sablefish                            ",78.2,NA,NA,NA
" ¦       ¦   ¦--0739                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1476                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1484                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1486                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1496                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1498                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1507                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1508                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1510                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1515                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1567                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1574                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1582                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1587                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1593                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1599                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1602                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1627                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1744                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1745                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1749                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1755                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1762                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1776                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1787                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1789                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1794                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1795                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1809                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1831                             ",NA,FALSE,"","ERROR - DataMap_Lotek.1000.1100.1250_InstantSensorData: Parsing file - No matches of 'CSV DATA' found in first 1000 lines of 1831PRESSURE.CSV, .self$throw_error(paste0(""Parsing file - No matches of '"", pattern, ""' found in first "", n, "" lines of "", tail(stringr::str_split(fp, .Platform$file.sep)[[1]], 1)))"
" ¦       ¦   ¦--1832                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1847                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1851                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1869                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1870                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1903                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1911                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1958                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1968                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--1979                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--1987                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--2485                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--2543                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--2546                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--2556                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--2558                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--2563                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--2564                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--2694                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--2733                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--2996                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--3048                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--3287                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--3298                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--3301                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--3310                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--3315                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--3316                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--3412                             ",NA,FALSE,"","Matching decoders: 0"
" ¦       ¦   ¦--3415                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--3426                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--3876                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--3885                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦       ¦   ¦--3890                             ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
